simp_word,trad_word,freq,pinyin
花城,花城,5861,hua cheng
台南市,臺南市,5855,tai nan shi
黄浦江,黃浦江,5854,huang pu jiang
澳门特区,澳門特區,5841,ao men te qu
长安街,長安街,5832,chang an jie
肇庆市,肇慶市,5823,zhao qing shi
铁路公安处,鐵路公安處,5817,tie lu gong an chu
门头沟,門頭溝,5812,men tou gou
省人民医院,省人民醫院,5808,sheng ren min yi yuan
渝北,渝北,5766,yu bei
东郊,東郊,5763,dong jiao
社区服务中心,社區服務中心,5754,she qu fu wu zhong xin
水沟,水溝,5745,shui gou
横琴,橫琴,5735,heng qin
抚顺,撫順,5716,fu shun
金黄,金黃,5715,jin huang
北京路,北京路,5712,bei jing lu
保定市,保定市,5691,bao ding shi
政府办,政府辦,5679,zheng fu ban
市规划局,市規劃局,5667,shi gui hua ju
黄浦,黃浦,5643,huang pu
南京路,南京路,5628,nan jing lu
浦东机场,浦東機場,5624,pu dong ji chang
展览中心,展覽中心,5621,zhan lan zhong xin
北师大,北師大,5614,bei shi da
涪陵,涪陵,5613,fu ling
回族,回族,5608,hui zu
市中,市中,5578,shi zhong
浏阳市,瀏陽市,5553,liu yang shi
蒙古族,蒙古族,5546,meng gu zu
边防支队,邊防支隊,5538,bian fang zhi dui
绿城,綠城,5528,lv cheng
大礼堂,大禮堂,5524,da li tang
教育学院,教育學院,5517,jiao yu xue yuan
祠堂,祠堂,5513,ci tang
冷库,冷庫,5494,leng ku
新桥,新橋,5487,xin qiao
人民路,人民路,5467,ren min lu
长途汽车站,長途汽車站,5435,chang tu qi che zhan
欧洲联盟,歐洲聯盟,5426,ou zhou lian meng
山沟,山溝,5411,shan gou
中心广场,中心廣場,5397,zhong xin guang chang
兴业银行,興業銀行,5397,xing ye yin hang
和美,和美,5391,he mei
